,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.localized.title,snippet.localized.description,contentDetails.itemCount
0,youtube#playlist,rPGW8yX8BFDk5cOwd7O1NLBxRDs,PLVD3APpfd1tsfGXPWa8jb2UVc9GXJljeQ,2021-07-11T20:50:15Z,UC2UXDak6o7rBm23k3Vv5dww,trading,,https://i.ytimg.com/vi/5QfjIZb9rJM/default.jpg,120,90,https://i.ytimg.com/vi/5QfjIZb9rJM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5QfjIZb9rJM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5QfjIZb9rJM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/5QfjIZb9rJM/maxresdefault.jpg,1280.0,720.0,Tina Huang,trading,,1
1,youtube#playlist,0ZIpT1OYhO6Oe-NXhg541xRnXIs,PLVD3APpfd1tutCd4Q9Q3_GOsqGs2r-I8R,2021-05-27T15:49:13Z,UC2UXDak6o7rBm23k3Vv5dww,self study and productivity,,https://i.ytimg.com/vi/yAwG8DoTmjI/default.jpg,120,90,https://i.ytimg.com/vi/yAwG8DoTmjI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yAwG8DoTmjI/hqdefault.jpg,480,360,,,,,,,Tina Huang,self study and productivity,,26
2,youtube#playlist,2c7RwUWGWgJR1W3yXOVUDuFnBq0,PLVD3APpfd1tsxl9cxYmwreJeHCVEC-lmx,2021-05-26T11:48:51Z,UC2UXDak6o7rBm23k3Vv5dww,study with me livestreams,,https://i.ytimg.com/vi/ceDvYu1cW6M/default.jpg,120,90,https://i.ytimg.com/vi/ceDvYu1cW6M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ceDvYu1cW6M/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ceDvYu1cW6M/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/ceDvYu1cW6M/maxresdefault.jpg,1280.0,720.0,Tina Huang,study with me livestreams,,41
3,youtube#playlist,kjK4IZkhrDH8EERtZs4s0RZjljs,PLVD3APpfd1tuZG0pek_JaPYRhGwpJj3Jd,2020-12-11T15:38:58Z,UC2UXDak6o7rBm23k3Vv5dww,Projects,,https://i.ytimg.com/vi/kHOVWiZKpHM/default.jpg,120,90,https://i.ytimg.com/vi/kHOVWiZKpHM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kHOVWiZKpHM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/kHOVWiZKpHM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/kHOVWiZKpHM/maxresdefault.jpg,1280.0,720.0,Tina Huang,Projects,,3
4,youtube#playlist,W-U0T_g-X4pwNwJcNTEcKxiTkcA,PLVD3APpfd1tsceZeW_sh5QMPwlCxawJhx,2020-11-30T18:24:29Z,UC2UXDak6o7rBm23k3Vv5dww,vlogs,,https://i.ytimg.com/vi/Y6q9TTOOyy0/default.jpg,120,90,https://i.ytimg.com/vi/Y6q9TTOOyy0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Y6q9TTOOyy0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Y6q9TTOOyy0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/Y6q9TTOOyy0/maxresdefault.jpg,1280.0,720.0,Tina Huang,vlogs,,2
5,youtube#playlist,8y_dQHqoGM7WUDe-y0jFzNTvlSs,PLVD3APpfd1ttpUNVJcYKh4P27malz0bLB,2020-10-05T13:24:18Z,UC2UXDak6o7rBm23k3Vv5dww,MCIT UPenn,Videos related to the MCIT UPenn program.,https://i.ytimg.com/vi/rd1HKwJT6GM/default.jpg,120,90,https://i.ytimg.com/vi/rd1HKwJT6GM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/rd1HKwJT6GM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/rd1HKwJT6GM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/rd1HKwJT6GM/maxresdefault.jpg,1280.0,720.0,Tina Huang,MCIT UPenn,Videos related to the MCIT UPenn program.,6
6,youtube#playlist,I9DmXWfi_hAXQQ_YwpuCiyYSC4c,PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA,2020-09-12T00:00:16Z,UC2UXDak6o7rBm23k3Vv5dww,SQL Sundays,Real data science SQL interview question walk through with a FAANG data scientist.,https://i.ytimg.com/vi/Td-cmLfQ7uU/default.jpg,120,90,https://i.ytimg.com/vi/Td-cmLfQ7uU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Td-cmLfQ7uU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Td-cmLfQ7uU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/Td-cmLfQ7uU/maxresdefault.jpg,1280.0,720.0,Tina Huang,SQL Sundays,Real data science SQL interview question walk through with a FAANG data scientist.,9
7,youtube#playlist,siiOCJnwe4cOPTGp1qu0g9klPtQ,PLVD3APpfd1tt1XPlGIwKr3apHsFc8yPOq,2020-08-20T21:27:57Z,UC2UXDak6o7rBm23k3Vv5dww,How to Get Your First Data Science Job,,https://i.ytimg.com/vi/2goqyY5XBeI/default.jpg,120,90,https://i.ytimg.com/vi/2goqyY5XBeI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2goqyY5XBeI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2goqyY5XBeI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2goqyY5XBeI/maxresdefault.jpg,1280.0,720.0,Tina Huang,How to Get Your First Data Science Job,,11
8,youtube#playlist,nPTPVsLiOM2CuDFGXSvVXmcwwa8,PLVD3APpfd1tthWsWOOSaZnEE61hMLFJgg,2020-08-18T13:50:08Z,UC2UXDak6o7rBm23k3Vv5dww,Resume Reviews (also asian snacks),,https://i.ytimg.com/vi/mueI-I7Suxw/default.jpg,120,90,https://i.ytimg.com/vi/mueI-I7Suxw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mueI-I7Suxw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/mueI-I7Suxw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/mueI-I7Suxw/maxresdefault.jpg,1280.0,720.0,Tina Huang,Resume Reviews (also asian snacks),,4
9,youtube#playlist,0aNQi3VvGsSVaJFw_L5IlysvBX4,PLVD3APpfd1tv7CVfiv1NYdrlhXd5SU0wv,2020-07-28T16:05:44Z,UC2UXDak6o7rBm23k3Vv5dww,Career,"Career related videos for data science, transitioning into computer science, and software engineering.",https://i.ytimg.com/vi/QKqjV6L5VRY/default.jpg,120,90,https://i.ytimg.com/vi/QKqjV6L5VRY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QKqjV6L5VRY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/QKqjV6L5VRY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/QKqjV6L5VRY/maxresdefault.jpg,1280.0,720.0,Tina Huang,Career,"Career related videos for data science, transitioning into computer science, and software engineering.",42
