,video_id,title,publishedAt,duration,durationSecs,commentCount,favoriteCount,likeCount,viewCount,categoryId,category_title,channelId,channelTitle,description
0,CgIVBER0gJo,"How I Accepted my Job Offers for Intuit, Patreon, and Netflix",2021-09-06T18:36:51Z,PT10M50S,650.0,13,0,29,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you all for watching and being a member!

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
1,9tz1J09L_vg,Members Only Show: Writing cold emails,2021-08-27T04:19:00Z,PT5M55S,355.0,9,0,37,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you as always to my members and hope you enjoyed the main video and the members only show!

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
2,EQJhy-Xuey0,Should You Work with a Recruiting Agency to get Tech Jobs?,2021-08-18T18:06:52Z,PT4M12S,252.0,2,0,20,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com

This video was sponsored by [SPONSOR]."
3,zsM1ASvV7PE,Members Only Show: Resume Tips!,2021-08-03T02:42:11Z,PT8M36S,516.0,9,0,35,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you always to my wonderful members and hope you enjoyed the video!

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

🔖c h a p t e r s 🔖
00:00 - Intro
01:00 - Should you add your picture to your resume?
02:30 - When can a resume be 2 pages?
03:15 - Should you add an objective section? 
04:42 - Should you include your personal hobbies?
05:54 - Should you tailor your resume? 
07:09 - Should you add your home address?
07:34 - Do recruiters only take 7 secs to review a resume? 
08:23 - Outro 

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
4,i26wnXQPN3s,helloMayuko Members Only Show: My HHKB!,2021-07-28T03:14:27Z,PT3M39S,219.0,19,0,25,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you all so much for your continued support, and for being a member! I'll respond to every comment on this video, so please say hello!

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
5,J12orP0OLso,helloMayuko Members Only Show: Notion Setup and Future Video Schedule!,2021-07-21T01:18:18Z,PT3M33S,213.0,16,0,27,,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you all so much for your continued support, and for being a member! I'll respond to every comment on this video, so please say hello!


💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
6,VZTsdI-hbpw,Best Keyboards for Programming 2021,2021-02-01T22:53:42Z,PT12M26S,746.0,650,0,14143,751888,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"PREORDER my code; hoodie today! https://store.dftba.com/collections/hello-mayuko/products/code-hoodie

LOGITECH (Gifted)
MX KEYS FOR MAC*: https://geni.us/y3RIfI
MX MASTER 4 FOR MAC*: https://geni.us/dqch6QF
MX PALM REST*: https://geni.us/jhur

KEYCHRON (Gifted)
K2: https://geni.us/uSDcx
K2 RETRO KEYCAPS: https://geni.us/Pv0dDj
WOODEN PALM REST: https://geni.us/TjT4X5

KINESIS FREESTYLE EDGE*: https://geni.us/9yTA

*Affiliate links

📼 Other videos you might enjoy 👇👇👇
Desk Setup for Programmers: https://youtu.be/dCmGBOgSjtg
What's on My Mac: https://youtu.be/n57_NhA7UcA
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I made an app for my dog: https://youtu.be/lsuy2hX_M1A
I also vlog: https://youtu.be/g_IJXwNUGNk

🎧m u s i c 🎧
Blue Wednesday - Middle School (feat. Magnus Klausen)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel: https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com/"
7,dCmGBOgSjtg,"Desk Setups for Programmers in 2020 | Coding, Productivity, Creative Work",2020-10-19T19:01:52Z,PT12M48S,768.0,355,0,14602,676785,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Check out part 2! (Chairs, Computers, Lighting, Mice): https://www.youtube.com/watch?v=-qWnNv5udlc
Seriously though also check out Gyasi's Channel: http://youtube.com/GyasiLinje

Thanks to Gyasi for being on my channel. This is our desk setup for coding, productivity, and creative work that we use as programmers!

#DeskSetup #WFH #Programming #Coding

00:00 - Intro
1:33 - Desks
5:49 - Monitors
8:35 - Keyboards
10:34 - Audio Setups
12:14 - Outtro

🎧m u s i c 🎧
Blue Wednesday - Island Boy (ft. Taiyo Ky)
Ruck P - Coffee Break
https://open.spotify.com/artist/7185Q95lPFld0aoPqO6e0U
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel: https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com/"
8,3r0OGNy4NGg,"My Complete Notion Setup 2021 (Template included!) // Video Planning, Organization and Productivity",2021-07-21T16:00:12Z,PT25M9S,1509.0,170,0,8409,285927,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Download Notion for free: https://ntn.so/mayuko
Watch the Members Only Post-video Commentary here: https://youtu.be/J12orP0OLso
My Weekly Planner template: https://hellomayuko.notion.site/Weekly-Planner-8b12a4f7ad244a388348476482fc14c6

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

🔖c h a p t e r s 🔖
00:00 - Intro
2:15 - My Calendar
3:58 - My Weekly Planner
6:01 - My Notes
6:31 - Video Planning Setup
8:31 - My Business Hub
9:21 - Other ways I use Notion
9:55 - My Favorite Features on Notion!
10:17 - Tables and Databases 💖
14:03 - Templates 💖
17:21 - Collaboration 💖
19:33 - Formatting Capabilities 💖
21:41 - Hotkeys 💖
23:27 - Outtro

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com

This video was sponsored by Notion."
9,I_zIqJ0xuoo,The most chill keyboard to type on // HHKB (Happy Hacking Keyboard) REVIEW,2021-07-29T16:00:11Z,PT15M26S,926.0,353,0,3965,150695,22,People & Blogs,UCEDkO7wshcDZ7UZo17rPkzQ,mayuko,"Thank you to my members for supporting my channel! Here's a bonus video for you all: https://youtu.be/i26wnXQPN3s (you can join today for $0.99 to get access: http://youtube.com/hellomayuko/join)

Check out the HHKB: https://hhkeyboard.us/
The model I have (with printed keycaps): https://geni.us/2Y17p
Tobalog-san's Video: https://www.youtube.com/watch?v=Ldf_n4v72pI

📼 Other videos you might enjoy 👇👇👇
It's okay to be unproductive: https://youtu.be/9-XkF1so5rI
How I Deal With Impostor Syndrome: https://youtu.be/DYPdsCN69lc
My Life with Anxiety: https://youtu.be/Ha0z52yftAE
Being Bilingual in Japanese and English: https://youtu.be/wJHY-xkURvg
WFH Routine in Quarantine: https://youtu.be/pGExwNeoC98
I also vlog: https://youtu.be/g_IJXwNUGNk

🔖c h a p t e r s 🔖
00:00 - Intro
00:45 - What's important to me in a keyboard
2:09 - Specs
3:19 - Comfort Review
3:28 - Comfort: Topre Switches
4:21 - Comfort: Wrist Rest and Keyboard Height
4:52 - Comfort: Final Score
5:21 - Usability Review
5:26 - Usability: Layout and Customization
7:47 - Usability: Blank keycaps
8:52 - Usability: Batteries
10:29 - Usability: Multi-device Capability
11:01 - Usability: Final Score
11:29 - Delight Review
12:30 - Delight: Sound
12:46 - Sound Test
13:00 - Delight: Visuals
13:33 - Delight: Final Score
13:52 - Final Scores and Final Thoughts
14:43 - Outtro

💖 m o r e  m a y u k o 💖
Become a member and support my channel: https://youtube.com/hellomayuko/join
Japanese Youtube Channel:https://www.youtube.com/channel/UClHbaIGALnVB0aoWO-BOpqQ
Twitch (Coworking sessions M-F): https://www.twitch.tv/hellomayuko
Monthly Newsletter (A mix of tech & non-tech stuff on my mind): https://news.hellomayuko.com
Merch: https://store.hellomayuko.com
Instagram: https://www.instagram.com/hellomayuko/
Twitter: https://twitter.com/hellomayuko
Muko's Corner Podcast: https://anchor.fm/mayuko-inoue
Hanko (My iOS Developer Academy): https://academy.hanko.tech

🛠m y  g e a r 🛠 
COMPUTER(similar): https://geni.us/zgTMbP3
KEYBOARD: https://geni.us/ZPolJe2
MOUSE: https://geni.us/QRIoB
MONITOR: https://geni.us/5CsiA
DESK PAD: https://bit.ly/2UvPQd1
MY AMAZON STORE: https://www.amazon.com/shop/mayuko
PRETTY DESK THINGS BY GROVEMADE: https://grovemade.com/?rfsn=4817337.ab5fb9
STATIONARY & QUALITY GOODS BY TOPDRAWER: https://shrsl.com/2hxay
Links above affiliate links, where I make a small commission from your purchase at no extra cost to you, helping me to fund this channel!

🎧m u s i c 🎧
Blue Wednesday - Murmuration (feat. Shopan)
Music provided by Chillhop: http://chillhop.com/listen
Chillhop on Spotify: http://bit.ly/ChillhopSpotify

🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com
https://www.hellomayuko.com"
