,video_id,title,publishedAt,duration,durationSecs,commentCount,favoriteCount,likeCount,viewCount,categoryId,category_title,channelId,channelTitle,description
0,5QfjIZb9rJM,How I'm learning to trade (forex swing trading),2021-07-11T20:57:37Z,PT17M32S,1052.0,137,0,1170,29835,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"In this video, I go through the details of my self study plan for forex swing trading. I go over how I decided on forex swing trading, the broker and platform that I use, resources, my full self study plan, my trading journal, and some early updates. Enjoy: My trading self study plan (forex swing trading) 
______________________________________________________________________
Timestamps 
 
00:00 intro 
00:34 trading style + asset class  
00:52 my criteria 
01:58 why forex swing trading 
04:37 why price action
05:00 resources and study plan - what's important 
05:47 the resources
07:41 broker + platform
08:00 study plan 
10:03 early updates 
10:35 trading journal 
11:46 paper trading results
11:50 book - trading in the zone 
13:22 real money results 
14:26 book - the new trading for a living 
15:28 overall what I want to improve on
______________________________________________________________________
Links mentioned in video

Article about different lot sizes: 
https://bit.ly/3i1qSxs

Trading journal template: 
https://www.notion.so/3ddfcc51c983411299cdbf3efb9c1c21?v=1836152b18274a508697d1d64c950730
______________________________________________________________________
SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG ($12.99 promotion until July 18th, 2021!) 

**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

_____________________________________________________________________
discord: https://discord.gg/5mMAtprshX

livestreaming google calendar:
https://bit.ly/3wvPzHB

_____________________________________________________________________
Other videos you might be interested in

Interview with a quant trader: 
https://youtu.be/_77TxNGR21A

We build a trading bot: 
https://youtu.be/52ErSpBX0F8

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________

About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
I better also put a disclaimer: 

We am not a financial advisor and this is not financial advice. The content of this youtube video is for educational purposes only and merely cites my personal opinion.  In order to make the best financial decision that suits your own needs, you must conduct your own research and seek the advice of a licensed financial advisor if necessary.  Know that all investments involve some form of risk and there is no guarantee that you will be successful in making, saving, or investing money; nor is there any guarantee that you won't experience any loss when investing.  Don't trust random people on the internet and always do your own research :) 

______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#trading #tradingplan #swingtrading #tinahuang"
1,yAwG8DoTmjI,"How to self study using MOOCS (Udemy, Coursera, and other online courses) | self study online",2021-05-27T17:00:20Z,PT17M35S,1055.0,252,0,8517,216461,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi friends! In this video, I go in depth on how to self study online using online courses and how to not give up like a third of the way in. If you have bought online courses and just never actuallly finished them, you are not alone. An average of only 10% of people actually finish an online course. And I was the 90% too before I developed and went through the process that I talk about in this video.

Be warned, this is a thorough discussion that isn't just tips and tricks - it's going to involve some introspection from you as well. I promise it's worth it though. 
______________________________________________________________________
Timestamps 

00:00 intro 
01:25 step 1 - define your goal 
03:57 step 2 - how to choose a good course 
04:45 criterium #1 topics
06:02 criterium #2 application
08:41 criterium #3 instructor
09:10 step 3 - execution
09:47 discipline #1 the wildly important 
10:03 discipline #2 lead measures 
11:32 discipline #3 scoreboard 
12:57 discipline #4 cadence of accountability 
13:40 how to skip fluff + use mutliple resources 
15:18 how to take effective notes
16:32 active recall

______________________________________________________________________
discord: https://discord.gg/5mMAtprshX
livestreaming google calendar: https://calendar.google.com/calendar/u/1?cid=cDBtOGgxOG1waW92bTJxYzdpZmkzNmgwODhAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ

______________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could start over): 
https://youtu.be/MHPGeQD8TvI

How to self study technical things: 
https://youtu.be/_EzmbCuoFcU

How to learn data science in 2021: 
https://www.youtube.com/watch?v=Axu4tJl8gbM

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________
Check out my SQL course for data science and tech interviews with 10 mock interviews:
https://www.udemy.com/course/sql-for-tech-and-data-science-interviews/?couponCode=0E271958A95489A6BA8C 

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina
______________________________________________________________________
About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 

______________________________________________________________________
*The StrataScratch affiliate program give me a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#onlinecourses #moocs #selfstudy #TinaHuang"
2,doBZSrFxLeM,How I stop myself from burning out,2021-06-18T18:00:49Z,PT6M53S,413.0,152,0,1334,24461,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi friends! I caught myself starting to burn out a week back and took a day to deliberately unburn myself out. In this video, I talk about the strategies I use to stop myself from burning out. I hope you find some of these tips helpful :) 

Timestamps 
 
00:00 How I know I'm burning out 
01:35 What doesn't work 
02:17 Restart system of activities 
03:42 Deliberate indulgence activities 
04:30 Learning activity 
05:15 Lunch
05:30 Pet pets
05:48 Dinner 
06:04 Anime!
_____________________________________________________________________
discord: https://discord.gg/5mMAtprshX
livestreaming google calendar: https://calendar.google.com/calendar/u/1?cid=cDBtOGgxOG1waW92bTJxYzdpZmkzNmgwODhAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ

SQL for tech and data science interviews course with 10 mock interviews: 
https://www.udemy.com/course/sql-for-tech-and-data-science-interviews/?couponCode=DF947818F15A561AE84E ($12.99 promotion until July 18th, 2021!) 

_____________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could start over):
https://youtu.be/MHPGeQD8TvI

How to self study technical things:
https://www.youtube.com/watch?v=_EzmbCuoFcU


______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________
Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA


**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina
______________________________________________________________________
About me 


Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)


#burnout #tech #tinahuang"
3,q6_9mdCkQhE,How I take notes - Tips for efficient note taking that speeds up learning,2021-06-26T14:41:09Z,PT10M2S,602.0,242,0,7618,160721,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi friends! In this video, I share with you guys how I take notes from start to finish. I love things that minimize effort and maximize outcome so my note taking also doubles as a way to speed up the learning process. It's also fast and efficient, but still easy to reference when I want to revisit the notes in the future. I hope you enjoy this video: How I take notes - Tips for efficient note taking that speeds up learning 

Timestamps 

00:00 Intro 
01:23 Stationary
02:48 Pre-notetaking 
03:17 Notetaking
03:35 Notetaking - system
04:11 Notetaking - focus on high level concepts
05:05 Notetaking - focus on own insights and connections
06:22 Notetaking - full examples
08:45 Notetaking - tip if you have FOMO
09:07 Post-notetaking 
_____________________________________________________________________
discord: https://discord.gg/5mMAtprshX
livestreaming google calendar: https://calendar.google.com/calendar/u/1?cid=cDBtOGgxOG1waW92bTJxYzdpZmkzNmgwODhAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ

SQL for tech and data science interviews course with 10 mock interviews: 
https://www.udemy.com/course/sql-for-tech-and-data-science-interviews/?couponCode=DF947818F15A561AE84E ($12.99 promotion until July 18th, 2021!) 

_____________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could start over):
https://youtu.be/MHPGeQD8TvI

How to self study technical things:
https://www.youtube.com/watch?v=_EzmbCuoFcU


______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________
Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA


**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina
______________________________________________________________________
About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)


#howitakenotes #datascience #tinahuang"
4,invk7t5YgcU,"How I design effective study plans for ANY SUBJECT (and stick with them) | trading, coding etc.",2021-07-04T17:30:03Z,PT13M46S,826.0,142,0,3341,59775,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi friends! Self study is hard! It's hard to design an effective and efficient self study plan and I argue even harder to actually stick with it. It's common to fall into the trap of buying other people's study plans and then giving up. Or falling into tutorial hell and giving up. Or feel frustrated because you feel like you're running around in circles and not seeing progress and giving up. Basically, it's really really easy to give up. So in this video, I'm going to share with you guys 8 crucial ingredients that I incorporate into my study plans. The first 5 is for designing the study plan and the last 3 are to make sure that I actually stick with it. 

There you have it: how I design effective study plans and stick with them!

Timestamps 
 
00:00 Intro 
00:50 Ingredient 1 - purpose 
02:39 Ingredient 2 - meta-learning 
03:45 Ingredient 3 - directness 
05:15 Ingredient 4 - breadth over depth 
07:02 Ingredient 5 - resources
09:18 Ingredient 6 - schedule
10:58 Ingredient 7 - accountability 
12:27 Ingredient 8 - notes 
_____________________________________________________________________
Links mentioned in video

How I would learn to code (if I could start over):
https://youtu.be/MHPGeQD8TvI

How to learn data science in 2021:
https://www.youtube.com/watch?v=Axu4tJl8gbM

_____________________________________________________________________
discord:
 https://discord.gg/5mMAtprshX

study with tina channel: 
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

livestreaming google calendar: 
https://calendar.google.com/calendar/u/1?cid=cDBtOGgxOG1waW92bTJxYzdpZmkzNmgwODhAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ

SQL for tech and data science interviews course with 10 mock interviews: 
https://www.udemy.com/course/sql-for-tech-and-data-science-interviews/?couponCode=DF947818F15A561AE84E ($12.99 promotion until July 18th, 2021!) 

_____________________________________________________________________
Other videos you might be interested in

How to self study technical things:
https://www.youtube.com/watch?v=_EzmbCuoFcU

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________
Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA


**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina
______________________________________________________________________
About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#selfstudy #datascience #tinahuang"
5,ZI1b8YHR6M4,The habits that changed my life (and how I built them),2021-07-20T14:45:03Z,PT14M47S,887.0,236,0,7478,148452,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"In this video, I talk about the systems of habits I built into my life broken down into the categories of career, learning, and life. Building habits is hard and it's taken me years and years but they are so worth it. As James Clear says: ""You do not rise to the level of your goals. You fall to the level of your systems.""

Enjoy: The habits that changed my life (and how I built them) 

Timestamps 

00:00 intro
02:14 career - my background  
02:34 career - get a job to get a job 
05:42 career - the one thing 
07:36 learning - why it's hard 
09:07 learning - livestream study with me 
10:54 life - exercise 
12:51 life - separate work space 

______________________________________________________________________
Links mentioned in video
Ken Jee's channel: https://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg

Study with Tina 2nd channel: https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw
______________________________________________________________________
SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG ($12.99 promotion until July 18th, 2021!) 

**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

Study with Tina channel: https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw
_____________________________________________________________________
discord: https://discord.gg/5mMAtprshX

livestreaming google calendar:
https://bit.ly/3wvPzHB
_____________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could do it over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=85s

How to self study technical things: 
https://www.youtube.com/watch?v=_EzmbCuoFcU&t=778s
______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________
About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)


#habits #howtobuildhabits #tinahuang"
6,yVj2pkeoy54,Data scientist desk setup (ergonomics while coding) | work from home edition,2021-07-28T14:00:22Z,PT16M32S,992.0,140,0,1164,40874,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi friends, here's my work from home desk setup that is otherwise known as how I cope with neck and back pain from too many years of having bad posture and staring at a screen. 

Not sponsored. 
 
Timestamps 

00:00 intro 
00:52 standing desk - autonomous 
02:23 chair - herman miller aeron 
03:57 neck and back massager - naipo shiatsu 
04:58 laptop - asus rog zephyrus g14 
08:45 webcam - faxpot 1080p 
09:25 earphones - 1more quad driver in-ear headphones
11:04 hard drive - seagate external 
12:11 mouse - logitech
12:36 keyboard - logitech 
13:37 drawing tablet - wacom
13:56 samsung tablet intuous 
14:37 whiteboard 
_____________________________________________________________________
**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG ($12.99 promotion until July 18th, 2021!) 

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

_____________________________________________________________________
discord: https://discord.gg/5mMAtprshX

livestreaming google calendar:
https://bit.ly/3wvPzHB

_____________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could start over): 
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=85s

How to learn data science in 2021: 
https://www.youtube.com/watch?v=Axu4tJl8gbM
______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________

About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#desksetup #desktour #wfhdesktour #tinahuang"
7,dq_WCdTlPtU,8 tiny habits that help me avoid procrastination,2021-08-15T16:21:05Z,PT10M53S,653.0,295,0,9180,180316,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"In this video I talk about the tiny habits (or micro habits) that I do to help me avoid procrastination. As the queen of procrastination, I am quite useless if I don't do these things. It's been a long process but I've made so much progress and I hope some of these habits may help you too :) 

Enjoy: 8 tiny habits that help me avoid procrastination 

Timestamps 
 
00:00 intro
01:08 start at end of day 
01:58 eat the frog 
03:02 2 minute rule 
03:55 5 minute rule 
05:21 borrow from the environment 
06:39 slightly valuable object
07:47 mindset shift
09:27 cut the flow 

______________________________________________________________________
Links mentioned in video: 
Thomas' Frank's video about 5 levels of self discipline: https://www.youtube.com/watch?v=tHilfRBl408
______________________________________________________________________
SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG 

**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

_____________________________________________________________________

instagram: https://www.instagram.com/hellotinah/

linkedin: https://www.linkedin.com/in/tinaw-h/ 

discord: https://discord.gg/5mMAtprshX

study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

livestreaming google calendar:
https://bit.ly/3wvPzHB

_____________________________________________________________________
Other videos you might be interested in

The habits that changed my life (and how I built them) : 
https://www.youtube.com/watch?v=ZI1b8YHR6M4

How I take notes - Tips for efficient note taking that speeds up learning: 
https://www.youtube.com/watch?v=q6_9mdCkQhE&t=1s

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________

About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#habits #microhabits #procrastination #tinahuang"
8,qSlGASiJV_4,How I'm figuring out what to do with my life,2021-08-22T18:45:31Z,PT10M18S,618.0,147,0,2615,42021,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"How I'm figuring out what to do with my life 

In this video I talk about the 3 quotes that helped me figure out what to do with my life, motivates me, and inspire me to keep working towards my goals, even when I don't feel like it. 

Enjoy: How I'm figuring out what to do with my life 

Timestamps 
 
00:00 intro
00:46 the meaning of Man 
05:12 the way that you spend your days
07:34 systems not goals 

______________________________________________________________________
Links mentioned in video 

Emily Hayward's channel: https://www.youtube.com/channel/UCa6sLJCWdaRF2yS-gd_NkeQ
______________________________________________________________________
SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG 

**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

_____________________________________________________________________

instagram: https://www.instagram.com/hellotinah/

linkedin: https://www.linkedin.com/in/tinaw-h/ 

discord: https://discord.gg/5mMAtprshX

study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

livestreaming google calendar:
https://bit.ly/3wvPzHB

_____________________________________________________________________
Other videos you might be interested in

The habits that changed my life (and how I built them): 
https://www.youtube.com/watch?v=ZI1b8YHR6M4

How I take notes - Tips for efficient note taking that speeds up learning: 
https://www.youtube.com/watch?v=q6_9mdCkQhE&t=1s

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________

About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#whattodowithlife #career #tinahuang"
9,YUQ18uSrwqE,Good coding habits to start developing NOW,2021-08-27T17:00:32Z,PT13M47S,827.0,174,0,3995,83750,27,Education,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Win your Ultimate Work From Home Setup by entering Fasthosts' Techie Test here: 
https://www.fasthosts.co.uk/tinahuang

In this video I talk about the some coding habits that will help you be more productive, efficient, and avoid burnout.  

Enjoy: Good coding habits to start developing now! 

Timestamps 
 
00:00 intro
01:11 plan your projects
03:38 running documentation
05:24 learn how to learn
08:31 schedule deep work 
09:54 schedule breaks  
11:38 hype routine 
12:38 lose the ego 
______________________________________________________________________
SQL for tech and data science interviews course with 10 mock interviews: 
https://bit.ly/2TSqGsG 

**365 Data Science: 
https://bit.ly/3d7rOPE (link for 57% discount for their complete data science training)

**Check out StrataScratch for SQL interview prep: 
https://stratascratch.com/?via=tina

Real SQL interview question walkthrough series: 
https://www.youtube.com/watch?v=Td-cmLfQ7uU&list=PLVD3APpfd1tuXrXBWAntLx4tNaONro5dA

_____________________________________________________________________

instagram: https://www.instagram.com/hellotinah/

linkedin: https://www.linkedin.com/in/tinaw-h/ 

discord: https://discord.gg/5mMAtprshX

study with Tina channel:
https://www.youtube.com/channel/UCI8JpGrDmtggrryhml8kFGw

livestreaming google calendar:
https://bit.ly/3wvPzHB

_____________________________________________________________________
Other videos you might be interested in

How I would learn to code (if I could start over):
https://www.youtube.com/watch?v=MHPGeQD8TvI&t=84s

How I take notes - Tips for efficient note taking that speeds up learning: 
https://www.youtube.com/watch?v=q6_9mdCkQhE&t=1s

______________________________________________________________________
Subscribe: https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww/?sub_confirmation=1
______________________________________________________________________

About me 

Hi, my name is Tina and I'm a data scientist at a FAANG company. I was pre-med studying pharmacology at the University of Toronto until I finally accepted that I would make a terrible doctor. I didn't know what to do with myself so I worked for a year as a research assistant for a bioinformatics lab where I learned how to code and became interested in data science. I then did a masters in computer science (MCIT) at the University of Pennsylvania before ending up at my current job in tech :) 
______________________________________________________________________
Contact

youtube: youtube comments are by far the best way to get a response from me! 
linkedin: https://www.linkedin.com/in/tinaw-h/ 
email for business inquiries only: hellotinah@gmail.com 

If you're reaching out through linkedin, please leave a youtube comment just letting me know that you reached out :) 
______________________________________________________________________
Links marked with * are tracking links that track traffic that comes from my channel. Links marked with ** are affiliate links where I receive a small portion of the sales price at no cost to you. I really appreciate your support in helping improve this channel! :)

#codinghabits #programming #tinahuang"
